name,address,phone,website
업소록,"11448 Reeder Rd. Dallas, TX 75229",469) 381-6860 / 469-275-6822 / 469.496.3860 / 469.855.4430 / 469.240.9891 / 972.551.9891 / 972.241.9100 / 972)979-5505 / 469-598-1600 / 972) 918-5173 / 972) 697-8926 / 972.242.6789,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=11448+Reeder+Rd.+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
Family DFW Auto LLC (훼밀리 자동차),"11448 Reeder Rd. Dallas, TX 75229",469) 381-6860 / 469-275-6822 / 469.496.3860 / 469.855.4430 / 469.240.9891 / 972.551.9891 / 972.241.9100 / 972)979-5505 / 469-598-1600 / 972) 918-5173 / 972) 697-8926 / 972.242.6789,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=11448+Reeder+Rd.+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
Family DFW Auto LLC (훼밀리 자동차),"11448 Reeder Rd. Dallas, TX 75229",469) 381-6860,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=11448+Reeder+Rd.+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
에넷방 부동산 (Annette Bang),"1221 W. Trinity Mills Rd. #252 Carrollton, TX 75006",469-275-6822,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=1221+W.+Trinity+Mills+Rd.+%23252+Carrollton%2C+TX+75006&z=16&iwloc=A&z=auto
우리 아메리카 은행 (WOORI AMERICA BANK),"2405 S. Stemmons Freeway #102, Lewisville, TX 75067",469.496.3860,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2405+S.+Stemmons+Freeway+%23102%2C+Lewisville%2C+TX+75067&z=16&iwloc=A&z=auto
"3044 Old Denton Rd. Suit 310 Carrollton, TX75007",텍사스 레가시 TEXAS LEGACY,469.855.4430,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=3044+Old+Denton+Rd.+Suit+310+Carrollton%2C+TX75007&z=16&iwloc=A&z=auto
Discount Body Shop (디스카운트 바디샵),"340 E. Church St., Lewisville, TX 75057",469.240.9891 / 972.551.9891,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=340+E.+Church+St.%2C+Lewisville%2C+TX+75057&z=16&iwloc=A&z=auto
"Mon-Fri(8am-6pm), Sat(8am-3pm), Sun(Closed)","340 E. Church St., Lewisville, TX 75057",469.240.9891 / 972.551.9891,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=340+E.+Church+St.%2C+Lewisville%2C+TX+75057&z=16&iwloc=A&z=auto
코리안 가든,,972.241.9100,
Titanium payments,"2341 Royal Ln. Suite A-1, Dallas, TX 75229",972)979-5505,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2341+Royal+Ln.+Suite+A-1%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
[email protected],"2341 Royal Ln. Suite A-1, Dallas, TX 75229",972)979-5505,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2341+Royal+Ln.+Suite+A-1%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
바다여행,"2625 Old Denton Rd, Suite 102 Carrollton, TX 75007",469-598-1600,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2625+Old+Denton+Rd%2C+Suite+102+Carrollton%2C+TX+75007&z=16&iwloc=A&z=auto
seatraveltx.com,"2625 Old Denton Rd, Suite 102 Carrollton, TX 75007",469-598-1600,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2625+Old+Denton+Rd%2C+Suite+102+Carrollton%2C+TX+75007&z=16&iwloc=A&z=auto
크리스유 변호사,"13155 Noel Rd. #900, Dallas, TX 75240",972) 918-5173 / 972) 697-8926,https://www.ccylaw.com
[email protected],"13155 Noel Rd. #900, Dallas, TX 75240",972) 918-5173 / 972) 697-8926,https://www.ccylaw.com
AG Senior Advisor LLC,,972.242.6789,
업소록,"2030 Royal Lane, Dallas, TX 75229",469.974.2211 / 972) 247-8424 / 972-245-1398 / 214-836-9095 / 346-707-2654 / 562-222-8877 / 469-460-1370 / 469.318.9466 / 469.585.4603 / 817-808-2078 / 469.662.9002,https://www.saeromroofing.com
새롬 루핑 (SAEROM Roofing),"2030 Royal Lane, Dallas, TX 75229",469.974.2211 / 972) 247-8424 / 972-245-1398 / 214-836-9095 / 346-707-2654 / 562-222-8877 / 469-460-1370 / 469.318.9466 / 469.585.4603 / 817-808-2078 / 469.662.9002,https://www.saeromroofing.com
새롬 루핑 (SAEROM Roofing),,469.974.2211,https://www.saeromroofing.com
김원영 변호사,"2030 Royal Lane, Dallas, TX 75229",972) 247-8424,http://www.attorneykimforyou.com/
[email protected],"2030 Royal Lane, Dallas, TX 75229",972) 247-8424,http://www.attorneykimforyou.com/
"HOW (Hanaro Oneway) 이사, 운송","2840 Commodore Dr. Suite #100 Carrollton, TX 75007",972-245-1398 / 214-836-9095,https://www.hnrcorp.com
세계로제자교회,"7101 N Riverside Dr, Fort Worth TX 76137",346-707-2654,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=7101+N+Riverside+Dr%2C+Fort+Worth+TX+76137&z=16&iwloc=A&z=auto
브리지원 재정 보험,2828 E Trinity Mills Rd #125 Carrollton TX 75006,562-222-8877 / 469-460-1370,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2828+E+Trinity+Mills+Rd+%23125+Carrollton+TX+75006&z=16&iwloc=A&z=auto
[email protected],2828 E Trinity Mills Rd #125 Carrollton TX 75006,562-222-8877 / 469-460-1370,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2828+E+Trinity+Mills+Rd+%23125+Carrollton+TX+75006&z=16&iwloc=A&z=auto
TERIYAKING 테리야킹&만두랑,"280 Legacy Dr. #300 Plano, TX 75023",469.318.9466,https://www.teriyaking.com
월-토 : 11am - 8pm,"280 Legacy Dr. #300 Plano, TX 75023",469.318.9466,https://www.teriyaking.com
굽내치킨 Goobne 캐롤턴점,2625 Olde Denton Rd #328 Carrollton TX 75007,,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2625+Olde+Denton+Rd+%23328+Carrollton+TX+75007&z=16&iwloc=A&z=auto
CENTURY21_센츄리21,"870 International Pkwy #150, Flower Mound, TX 75022",469.585.4603,https://www.stillwaterslending.com
[email protected],"870 International Pkwy #150, Flower Mound, TX 75022",469.585.4603,https://www.stillwaterslending.com
새본교회,"3700 Valley View Ln. Dallas, TX 75244",817-808-2078,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=3700+Valley+View+Ln.+Dallas%2C+TX+75244&z=16&iwloc=A&z=auto
[email protected],"3700 Valley View Ln. Dallas, TX 75244",817-808-2078,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=3700+Valley+View+Ln.+Dallas%2C+TX+75244&z=16&iwloc=A&z=auto
UNI 보험,"4101 McEwen Rd. Ste 235, Dallas, TX 75244",469.662.9002,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=4101+McEwen+Rd.+Ste+235%2C+Dallas%2C+TX+75244&z=16&iwloc=A&z=auto
[email protected],"4101 McEwen Rd. Ste 235, Dallas, TX 75244",469.662.9002,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=4101+McEwen+Rd.+Ste+235%2C+Dallas%2C+TX+75244&z=16&iwloc=A&z=auto
신촌정육도매,"11422 Harry Hines Blvd. #210 Dallas, TX 75229",972-243-0733,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=11422+Harry+Hines+Blvd.+%23210+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
AIX Golf,2405 S. Stemmons Freeway Suite 200 Lewisville TX 75067,972.849.9178,https://www.aixgoif.golf
[email protected],2405 S. Stemmons Freeway Suite 200 Lewisville TX 75067,972.849.9178,https://www.aixgoif.golf
달라스중앙감리교회 (Korean Central Methodist Church),"3800 Carbon Rd, Irving, TX 75038",972) 258-0991,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=3800+Carbon+Rd%2C+Irving%2C+TX+75038&z=16&iwloc=A&z=auto
dallascentral.church,"3800 Carbon Rd, Irving, TX 75038",972) 258-0991,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=3800+Carbon+Rd%2C+Irving%2C+TX+75038&z=16&iwloc=A&z=auto
TPA_Texas Pro Alliance Group,2700 Old Denton Rd. Carrollton Texas 75006 / 1016 W Trinity Mills Rd. Carrollton Texas 75006,214.531.7770 / 202.779.1213,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2700+Old+Denton+Rd.+Carrollton+Texas+75006+%2F+1016+W+Trinity+Mills+Rd.+Carrollton+Texas+75006&z=16&iwloc=A&z=auto
은행융자),2700 Old Denton Rd. Carrollton Texas 75006 / 1016 W Trinity Mills Rd. Carrollton Texas 75006,214.531.7770 / 202.779.1213,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=2700+Old+Denton+Rd.+Carrollton+Texas+75006+%2F+1016+W+Trinity+Mills+Rd.+Carrollton+Texas+75006&z=16&iwloc=A&z=auto
FRY 부동산 Fry Realty & Commercial,,682.521.7542 / 214.517.454,https://www.FryRealty.com
프레시 스마일 덴탈 (Fresh Smile Dental Care),"1894 Royal Ln #104, Dallas, TX 75229",214) 623-0880,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=1894+Royal+Ln+%23104%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
[email protected],"1894 Royal Ln #104, Dallas, TX 75229",214) 623-0880,https://maps.google.com/maps?f=d&source=s_d&saddr=&daddr=1894+Royal+Ln+%23104%2C+Dallas%2C+TX+75229&z=16&iwloc=A&z=auto
수아한복,,214)801-8203,
instagram.com/sooausa,,214)801-8203,
곱창이야기_Gopchang Story,"4070 SH 121 suit 328 Carrollton, TX 75010",469 892 6381,https://www.gopchangstorydfw.com
Mon-Thu 4:30pm / 9pm-10:30 Fri-Sat 11:30-5pm/ 9pm-11pm Sun 11:30am-5pm/ 8:30pm-10pm,"4070 SH 121 suit 328 Carrollton, TX 75010",469 892 6381,https://www.gopchangstorydfw.com
